_id,name,Price ,Sold,description,link
14,Forninho Oster,150,,"Modelo tssttvvgs1-017 - Forno Elétrico Oster 10 litros Forno elétrico 10 litros com função assar, tosar e esquentar. Com controle de temperatura de 65 a 230C. A função tostar possui graduação claro e escuro. E o temporizador de 1 a 30 minutos.  Capacidade  ossui capacidade de 10 litros, potência de 800W, seletor de temperatura e resistência, além de um design moderno e arrojado!  Sua cozinha ganha um toque de sofisticação e praticidade e rapidez no preparo dos alimentos!  Utilização  Ideal para assar, tostar e esquentar: Frango, Bisteca, Pizza Congelada, Pão de Queijo Pré Pronto, Lasanha, Pastelão, Bolo e Biscoitos.  Capacidade - 10 Litros   Material - Aço Inox e plastico  Cor - Preto com iNOX  Marca - Oster Ref: tssttvvgs1-017 Imagem meramente ilustrativa ",http://www.buscape.com.br/oster-compacto-tssttvvgs1-de-mesa
15,Risoteria Arno,110,,"A Risoteria da Arno é ideal para você que gosta de preparar pratos diferentes e risotos deliciosos! Com capacidade de até 1,5 litro, ela cozinha até 8 xícaras de arroz e ainda o mantém aquecido depois de pronto. Acompanha copo de medida, uma colher e suporte para cozimento a vapor.

Características Gerais
Modelo: Riso RK1508B1
Capacidade para 1,5L cozinha até 8 xícaras de arroz.
Tampa: Sim, de vidro transparente
Paredes frias: Maior proteção durante o cozimento.",
16,Smart TV 3D Samsung 46 Polegadas,1975,,SGUN46F6800AGX,http://www.samsung.com/br/support/model/UN46F6800AGXZD
17,TV LED LG 32 Polegadas,980,,"A LN5400 é uma linha de televisores da LG com tecnologia LED e resolução Full HD e essa é a opção de 32 polegadas.
Ideal para quem gosta de filmes e games, mas que não tem tanto espaço para uma tela maior, a TV LG ficará linda em seu quarto.
É um excelente aparelho para quem quer um baixo investimento para um retorno elevado. LED TV Full HD , INTELLIGENT SENSOR AND HDMI CONNECTIVITY",
18,Mini Processador Black and Decker,20,TRUE,,
19,Expremedor de Laranja Mondial,30,TRUE,,
20,jogo de sobremesa ,40,TRUE,,
21,Batedeira ,70,TRUE,MOD:662648-00 Black and Decker,
22,Sanduicheira Black and Decker,20,TRUE,,
23,Panela eletrica de Arroz  (Oster),115,,"Este modelo apresenta a nova função refogar que permite dourar os alimentos para que a receita atinja a perfeição. Graças a sua tampa de vidro refratário e ao seu cabo arqueado, você poderá segurar com firmeza e assim poderá controlar sua preparação em todos os momentos. Tigela interna removível de 1,2 litros (7 xícaras) com revestimento antiaderente.",http://www.osterbrasil.com/ProductDetail.aspx?cid=2861&pid=4017
24,Grill Antiaderente,130,,,
25,Rechaud Prata Grande,280,,"Lindo Rechaud de Prata Inox com capacidade de 3,5L. Nunca usado!! ",http://www.extra.com.br/EletrodomesticosLinhaIndustrial/PortateisIndustriais/RechaudIndustrial/Rechaud-Redondo-Tampa-de-Vidro-35-litros-RRTV3-Orcil-4150400.html?IdProduto=1602742&recsource=btermo
26,Ventilador USB Mesa,15,,Ventilador de mesa USB. ,http://www.extra.com.br/ArVentilacao/VentiladoreseCirculadores/VentiladordeMesa/Ventilador-USB-Mini-Portatil-Mesa-Notebook-Metal---Ventisol-8414030.html?IdProduto=4976194&recsource=btermo
27,Aspirador de Pó,355,,Modelo AP5396Z1 Arno,http://www.arno.com.br/instrucoes-de-uso/Limpeza/Aspiradores/Aspirador-de-P%C3%B3-Arno-Compacteo-Ergo-Cyclonic-Animal-Care/csp/2210017218
28,Impressora Epson XP-401,190,,,
29,Monitor Escritorio Samsung FULL HD TV,450,,Modelo T22C310LB,http://www.samsung.com/br/support/model/LT22C310LBMZD
30,Puff Retangular Preto,35,,Puff Phoenix Preto Courino - 1 unidade,
31,Lustre Escritorio,240,,LUSTRE WOK 90945 EGLO,
32,Playstation 3,0,,,
33,Cepo Com 7 Peças Faqueiro Em Aço Inox,65,,"Um jogo completo para você realizar cortes precisos em diversos tipos de carnes e legumes! Seja em casa ou em estabelecimentos comerciais, os utensílios proporcionarão mais agilidade durante o preparo das receitas. O Conjunto é composto de cepo de madeira, faca chef, faca de legumes, faca de pão, faca trinchante, faca multiuso, chaira, tesoura e bloco de madeira. Ideal para usar no dia a dia ou em ocasiões especiais, o produto fará a diferença na sua cozinha!


Objeto afiado, tome cuidado ao manusear e utilizar.
Dynasty",
34,2 Lustres Pendulos cor Vermelho Onix ,140,,21cm de diametro e há possibilidade de ajustar o comprimento. ,
35,2 Lustres Preto ,0,,,
36,2 Lustre box Preto cozinha,0,,,
37,Cafeteira Oster,0,,,
38,Cafeteira Expresso,0,,,
39,Jogo Talher com suporte Inox,0,,,
40,Panela Arroz Eletrica Branca,20,,,
41,2 Vasos para decoração  ,70,,,
42,Suporte roupas para secar,20,,,
44,Jogo Talheres tramontina,0,,,
45,Mesa Vidro Vime 6 cadeiras com estofado,0,,,
46,Vaporizador Steam Mondial,0,,,
47,Tapete Escritorio,0,,,
48,Rechaud Inox Sem Forro,0,,,
49,Umidificador de Ar Ultra-Sônico,0,,,
50,Fruteira Aço de Flor,0,,,
51,Lixo Escritorio,0,,,
